WEO Country Code,ISO,Country,Units,Scale,Country/Series-specific Notes,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Estimates Start After
339,BLZ,Belize,Percent change,,,10.861,15.474,11.209,11.465,12.083,6.276,0.147,0.664,1.416,3.595,3.685,8.77,13.048,4.681,4.747,9.316,4.777,1.957,4.824,0.51,3.465,0.237,3.002,1.914,2.426,1.302,3.619,2.85,0.104,1.863,2.079,-1.99,-16,8,5,3,2.003,2.003,2019
638,BEN,Benin,Percent change,,,3.428,-2.849,8.976,4.226,2.958,5.836,2.02,6.045,4.324,5.735,3.961,4.358,5.858,5.333,4.643,3.444,4.43,1.713,3.944,5.986,4.897,2.319,2.114,2.964,4.811,7.191,6.358,1.778,3.34,5.672,6.697,6.866,1.998,4.99,6.974,7.011,7.004,7.02,2018
514,BTN,Bhutan,Percent change,,,15.079,6.194,9.098,4.896,2.083,3.192,2.232,6.019,5.971,5.544,6.009,7.087,6.934,7.04,9.516,9.32,6.876,6.666,7.137,12.861,10.964,5.801,9.484,9.866,6.495,3.582,3.968,6.221,7.408,6.322,3.821,3.806,0.568,-0.463,5.818,6.933,8.134,5.987,2019
218,BOL,Bolivia,Percent change,,,2.91,3.79,4.636,5.267,1.646,4.269,4.667,4.678,4.361,4.954,5.029,0.427,2.508,1.684,2.486,2.711,4.173,4.421,4.797,4.564,6.148,3.357,4.127,5.204,5.122,6.796,5.461,4.857,4.264,4.195,4.224,2.217,-7.9,5.6,4.3,4,3.7,3.7,2019
963,BIH,Bosnia and Herzegovina,Percent change,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,22.853,13.814,10.75,4.442,2.362,5.053,3.858,6.257,4.236,5.691,5.979,5.594,-0.816,0.767,0.908,-0.707,2.351,1.148,3.088,3.146,3.164,3.716,2.7,-6.5,5,4,3.5,3.5,3.5,2018
616,BWA,Botswana,Percent change,,,23.42,4.665,8.787,6.237,-0.208,4.027,-0.786,7.03,5.83,8.027,0.721,9.667,1.987,0.25,6.07,4.625,2.706,4.556,8.364,8.28,6.242,-7.652,8.564,6.048,4.456,11.344,4.149,-1.698,4.304,2.904,4.479,2.966,-9.627,8.708,4.343,4.07,4.073,4.105,2019
223,BRA,Brazil,Percent change,,,0.264,3.2,-4.168,1.031,-0.467,4.665,5.334,4.417,2.209,3.395,0.338,0.468,4.388,1.39,3.053,1.141,5.76,3.202,3.962,6.07,5.094,-0.126,7.528,3.974,1.921,3.005,0.504,-3.546,-3.276,1.323,1.317,1.137,-5.801,2.828,2.272,2.236,2.206,2.218,2019
516,BRN,Brunei Darussalam,Percent change,,,-0.36,2.206,1.085,3.148,4.759,0.301,3.149,4.477,2.881,-1.475,-0.56,3.053,2.853,2.745,3.872,2.903,0.504,0.388,4.412,0.12,-1.979,-1.819,2.652,3.744,0.913,-2.125,-2.508,-0.405,-2.465,1.327,0.053,3.869,0.104,3.249,3.684,2.295,1.959,1.847,2019
918,BGR,Bulgaria,Percent change,,,2.4,-0.5,-9.1,-10.755,-8.426,-11.625,-3.665,-1.601,-8.043,-14.193,4.285,-8.281,4.782,3.817,5.953,5.152,6.442,7.154,6.802,6.557,6.086,-3.424,0.57,2.351,0.361,0.319,1.895,3.989,3.812,3.507,3.084,3.372,-4,4.1,3.7,3.2,3.1,2.9,2019
748,BFA,Burkina Faso,Percent change,,,5.796,2.15,-0.603,9.07,0.233,3.461,1.315,5.716,11.015,6.317,7.308,7.333,1.888,6.613,4.353,7.802,4.478,8.662,6.253,4.111,5.8,2.962,8.446,6.623,6.453,5.793,4.327,3.921,5.959,6.156,6.821,5.689,-2.033,3.89,5.549,5.558,5.521,5.563,2018
618,BDI,Burundi,Percent change,,,5.031,1.349,3.458,5.781,1.007,-6.236,-3.829,-7.919,-8.001,0.413,4.752,1.164,1.781,1.665,2.353,2.469,3.766,4.37,5.414,3.452,4.862,3.813,5.124,4.033,4.447,5.944,4.318,-3.856,-0.602,0.537,1.64,1.767,-3.244,3.128,2.023,2.143,2.32,2.608,2015
