WEO Country Code,ISO,Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
638,BEN,Benin,3.428,-2.849,8.976,4.226,2.958,5.836,2.02,6.045,4.324,5.735,3.961,4.358,5.858,5.333,4.643,3.444,4.43,1.713,3.944,5.986,4.897,2.319,2.114,2.964,4.811,7.191,6.358,1.778,3.34,5.672,6.697,6.551,6.701,6.742,6.744,6.727,6.748,2018
514,BTN,Bhutan,15.079,6.194,9.098,4.896,2.083,3.192,2.232,6.019,5.971,5.544,6.009,7.087,6.934,7.04,9.516,9.118,6.748,6.527,6.981,12.571,10.752,5.722,9.327,9.72,6.428,3.57,3.963,6.208,7.355,6.26,4.605,5.528,7.212,5.911,6.907,7.171,6.411,2018
218,BOL,Bolivia,2.91,3.79,4.636,5.267,1.646,4.269,4.667,4.678,4.361,4.954,5.029,0.427,2.508,1.684,2.486,2.711,4.173,4.421,4.797,4.564,6.148,3.357,4.127,5.204,5.122,6.796,5.461,4.857,4.264,4.195,4.224,3.9,3.8,3.7,3.7,3.7,3.7,2017
963,BIH,Bosnia and Herzegovina,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,22.853,13.814,10.75,4.442,2.362,5.053,3.858,6.257,4.236,5.691,5.979,5.594,-0.816,0.767,0.908,-0.707,2.351,1.15,3.074,3.215,3.114,3.624,2.8,2.6,2.6,2.8,2.9,3,2018
616,BWA,Botswana,23.42,4.665,8.787,6.237,-0.208,4.027,-0.786,7.03,5.83,8.027,0.721,9.667,1.987,0.25,6.07,4.625,2.706,4.556,8.364,8.28,6.242,-7.652,8.564,6.048,4.456,11.343,4.149,-1.698,4.304,2.908,4.454,3.48,4.339,5.906,3.851,3.907,3.93,2018
223,BRA,Brazil,0.264,3.2,-4.168,1.031,-0.555,4.91,5.839,4.232,0.182,3.399,0.345,0.468,4.384,1.382,3.053,1.139,5.757,3.192,3.955,6.064,5.095,-0.119,7.545,3.986,1.928,3.007,0.506,-3.551,-3.313,1.056,1.114,0.875,2.039,2.371,2.358,2.409,2.256,2018
516,BRN,Brunei Darussalam,-0.36,2.206,1.085,3.148,4.759,0.301,3.149,4.477,2.881,-1.475,-0.56,3.053,2.853,2.745,3.872,2.903,0.504,0.388,4.412,0.12,-1.979,-1.819,2.652,3.744,0.913,-2.125,-2.508,-0.405,-2.465,1.327,0.053,1.814,4.702,3.595,3.539,2.428,2.116,2018
918,BGR,Bulgaria,2.4,-0.5,-9.1,-10.755,-8.426,-11.625,-3.665,-1.601,-8.043,-1.646,4.861,-0.494,5.005,3.77,5.938,5.156,6.435,7.123,6.874,7.344,6.022,-3.586,1.324,1.915,0.031,0.494,1.838,3.471,3.937,3.811,3.081,3.7,3.2,3,2.8,2.8,2.8,2018
748,BFA,Burkina Faso,5.796,2.15,-0.603,9.07,0.233,3.461,1.315,5.716,11.015,6.317,7.308,7.333,1.887,6.609,4.353,7.81,4.478,8.665,5.984,4.372,5.8,2.962,8.446,6.627,6.453,5.794,4.326,3.895,5.946,6.317,6.821,5.967,5.967,6.013,6.018,6,6,2018
618,BDI,Burundi,5.031,1.349,3.458,5.781,1.007,-6.236,-3.829,-7.919,-8.001,0.413,4.752,1.164,1.781,1.665,2.353,2.469,3.766,4.37,5.414,3.452,4.862,3.813,5.124,4.033,4.447,5.944,4.494,-3.956,-1.042,0.001,0.149,0.419,0.5,0.5,0.5,0.5,0.5,2015
624,CPV,Cabo Verde,5.997,5.698,0.692,1.403,3.045,7.31,6.93,7.492,6.694,7.639,8.413,11.86,7.267,6.138,5.283,7.502,4.927,5.81,9.118,9.218,6.651,-1.27,1.467,3.969,1.082,0.803,0.611,1.007,4.706,3.702,5.078,4.973,4.953,4.986,4.999,4.98,4.976,2018
